easting_m,northing_m
563673.025,767918.069
563825.672,767920.733
563827.438,767819.559
563846.994,767755.592
563763.461,767731.639
563731.684,767859.087
563673.034,767879.282
563656.443,767838.217
563647.300,767808.313
563675.489,767747.863
563701.526,767698.894
563720.762,767670.376
563727.045,767652.127
563738.632,767631.224
563786.794,767615.575
563832.659,767683.573
563842.550,767709.340
563871.055,767740.997
564038.318,767740.997
563907.018,767740.997
